WADB-AM,MF 12n-3p
WKIP-AM,MF 12n-3p
WLAD-AM,MF 12n-3p
WOBM-AM,MF 12n-3p
WOR-AM,MF 12n-3p
KEIB-AM,MF 9a-12n
KIXW-AM,MF 9a-12n
KTIE-AM,MF 9a-12n
KVTA-AM,MF 9a-12n
WLS-AM,MF 11a-2p
WAEB-AM,MF 12n-3p
WCMC-AM,MF 12n-3p
WDOV-AM,MF 12n-3p
WEEU-AM,MF 12n-3p
WILM-AM,MF 12n-3p
WMID-AM,MF 12n-3p
WPHT-AM,MF 12n-3p
KNET-AM,MF 11a-2p
WBAP-AM,MF 11a-2p
KNEW-AM,MF 9a-12n
WEMJ-AM,MF 12n-3p
WGIR-AM,MF 12n-3p
WKBK-AM,MF 12n-3p
WQSO-FM,MF 12n-3p
WRKO-AM,MF 12n-3p
WTAG-AM,MF 12n-3p
WXTK-FM,MF 12n-3p
WFMD-AM,MF 12n-3p
WFRB-AM,MF 12n-3p
WINC-AM,MF 12n-3p
WMAL-AM,MF 12n-3p
WMAL-FM,MF 12n-3p
WNTX-AM,MF 12n-3p
WCHM-AM,MF 12n-3p
WDDK-FM,MF 12n-3p
WDUN-AM,MF 12n-3p
WGAU-AM,MF 12n-3p
WJRB-FM,MF 12n-3p
WLAQ-AM,MF 12n-3p
WSB-AM,MF 12n-3p
WSBB-FM,MF 12n-3p
WVCC-AM,MF 12n-3p
KQBT-F3,MF 11a-2p
KTRH-AM,MF 11a-2p
KWHI-AM,MF 1-4p
WJR-AM,MF 12n-3p
WMIC-AM,MF 2-5p
KAAA-AM,MF 9a-12n
KATO-AM,MF 9a-12n
KBTK-FM,MF 10a-1p
KDJI-AM,MF 9a-12n
KFYI-AM,MF 10a-1p
KLPZ-AM,MF 10a-1p
KVWM-AM,MF 9a-12n
KYCA-AM,MF 10a-12n/MF 1-2p
KZZZ-AM,MF 9a-12n
KELA-AM,MF 9a-12n
KGMI-AM,MF 9a-12n
KONP-AM,MF 9a-12n
KPQ-AM,MF 9a-12n
KTTH-AM,MF 9a-12n
WFLA-AM,MF 12n-3p
WLKF-AM,MF 12n-3p
WWTK-AM,MF 12n-3p
WXJB-FM,MF 12n-3p
KDJS-AM,MF 11a-2p
KKBJ-AM,MF 11a-2p
KNSI-AM,MF 11a-2p
KPRM-AM,MF 11a-2p
KTLK-AM,MF 11a-2p
KVKK-AM,MF 11a-2p
WCSW-AM,MF 11a-2p
WMEQ-AM,MF 11a-2p
WWWI-AM,MF 11a-2p
WFFG-AM,MF 12n-3p
WIOD-AM,MF 12n-3p
KCOL-AM,MF 10a-1p
KIML-AM,MF 10a-1p
KNFO-FM,MF 10a-1p
KOA-AM,MF 10a-1p
KOWB-AM,MF 10a-1p
WFLF-AM,MF 12n-3p
WMGF-F3,MF 11a-2p
WMMB-AM,MF 12n-3p
WMMV-AM,MF 12n-3p
WNDB-AM,MF 12n-3p
WBTC-AM,MF 12n-3p
WHLO-AM,MF 12n-3p
WMAN-AM,MF 12n-3p
WTAM-AM,MF 12n-3p
KBEB-F2,MF 9a-12n
KFBK-AM,MF 9a-12n
KFBK-FM,MF 9a-12n
